"Source:","/home/daniel/Desktop/VentilatorProject/openventilator/10096315 Blower Driver/10096315 Blower Driver.sch"
"Date:","Fri 17 Apr 2020 06:36:35 PM CDT"
"Tool:","Eeschema 5.1.5-52549c5~86~ubuntu18.04.1"
"Component Count:","133"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C2","Capacitor_100uF_CheckFootprint","10096315 Blower Driver:03515","","NICHICON_RMS1",""
"C3","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C4","Capacitor_22uF_CheckFootprint","10096315 Blower Driver:C7343","https://content.kemet.com/datasheets/KEM_T2052_T495_AUTO.pdf","AVX_RMS1",""
"C5","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C6","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C7","Capacitor_2.2nF","10096315 Blower Driver:C0603","https://api.kemet.com/component-edge/download/datasheet/C0603C222K5RAC7411.pdf","YAGEO_RMS1",""
"C8","Capacitor_10nF","10096315 Blower Driver:C0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","YAGEO_RMS1",""
"C9","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C10","Capacitor_220nF","10096315 Blower Driver:RC1206","https://api.kemet.com/component-edge/download/datasheet/C1206C224K5RACTU.pdf","KEMET_RMS1",""
"C11","Capacitor_2.2nF","10096315 Blower Driver:C0603","https://api.kemet.com/component-edge/download/datasheet/C0603C222K5RAC7411.pdf","YAGEO_RMS1",""
"C12","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
"C13","Capacitor_220nF","10096315 Blower Driver:RC1206","https://api.kemet.com/component-edge/download/datasheet/C1206C224K5RACTU.pdf","KEMET_RMS1",""
"C14","Capacitor_2.2nF","10096315 Blower Driver:C0603","https://api.kemet.com/component-edge/download/datasheet/C0603C222K5RAC7411.pdf","YAGEO_RMS1",""
"C15","Capacitor_100nF","10096315 Blower Driver:C0805","https://api.kemet.com/component-edge/download/datasheet/C0805C104Z5VACTU.pdf","YAGEO_RMS1",""
