Item Number,Item Description,Ref Des,Mfr. Name,Mfr. Part Number,Mfr. Part Description
10020993,"QUARTZ, 8 MHZ, 100PPM,SMD",Q1,IQD,LFXTAL003151REEL,
10020994,"DIODE ZENER, 500MW, 12V, SOD-80C",D12,NXP SEMICONDUCTORS_RMS1,"BZV55-C12,115",
,,,NXP SEMICONDUCTORS_RMS1,BZV55-C12,VOLTAGE REGULATOR DIODE
10022135,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805","C46,C62,C69,C79,C82,C105",YAGEO_RMS1,223858055649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805"
,,,"MURATA MANUFACTURING CO., LTD.",GRM21BR71H104KA01L,MONOLITHIC CERAMIC CAPACITOR
,,,YAGEO_RMS1,223858015649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805"
,,,SAMSUNG_RMS1,CL21B104KBCNNNC,MULTILAYER CERAMIC CAPACITOR
,,,YAGEO_RMS1,CC0805KRX7R9BB104,CAP CER .1UF 50V 10% X7R 0805
,,,AVX_RMS1,08055C104KAT2A,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805, X7R DIELECTRIC"
10022157,"TRANSISTOR, P CHANNEL, 50V, 0.13A,      5 OHM, SOT23","T3,T19",NXP SEMICONDUCTORS_RMS1,BSS84,MOSFET P CHANNEL
,,,ON SEMICONDUCTOR_RMS1,BSS84LT1G,POWER MOSFET
,,,NXP SEMICONDUCTORS_RMS1,"BSS84,215",
10022505,"UART, LQFP64",IC1,TEXAS INSTRUMENTS_RMS1,TL16C750IPM,UART
10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603","C39,C43,C45,C50,C53,C97",YAGEO_RMS1,223858615636,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,223858615536,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603"
,,,KEMET_RMS1,C0603C103K5RACTU,CERAMIC CHIP CAPACITOR
,,,YAGEO_RMS1,CC0603KRX7R9BB103,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603"
10022510,"CAPACITOR,330NF,+/-10%,16V,0805,X7R",C6,YAGEO_RMS1,222278015556,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805"
,,,TDK_RMS1,C2012X7R1C334KT,CERAMIC MULTILAYER CAPACITOR
,,,KEMET_RMS1,C0805C334K4RACTU,CERAMIC SURFACE MOUNT - X7R DIELECTRIC
,,,YAGEO_RMS1,222278015656,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805"
,,,YAGEO_RMS1,CC0805KKX7R7BB334,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805"
10022511,"TRANSCEIVER, 3.3V TO 5V,TSSOP",IC2,TEXAS INSTRUMENTS_RMS1,SN74ALVC164245DGGR,
,,,TEXAS INSTRUMENTS_RMS1,74ALVC164245DGGTE4,TRANSCEIVER
,,,TEXAS INSTRUMENTS_RMS1,SN74ALVC164245DGGT,TRANSCEIVER 3.3V TO 5V
,,,TEXAS INSTRUMENTS_RMS1,74ALVC164245DGGRG4,
10022542,"CONNECTOR, O2 VALVE, 2 CONTACTS",J21,MOLEX_RMS1,22057028,
10022544,"RESISTOR, 470 OHM, 0.063W, +/-5%",L5,YAGEO_RMS1,232270260471,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0603"
,,,VISHAY_RMS1,CRCW0603470RJNEA,RESISTOR
,,,YAGEO_RMS1,232270260471L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0603"
,,,ASJ,CR16-471JL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,RC0603JR-07470RL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0603"
