"Item Number","Old Library","New Library", "Footprint",            "Footprint.3dshapes","Description",            "Value","References","Sch File",            "Manufacturer","Manufacturer_No","Documentation"
"10022131","Device:R","Resistor:R0603_27k_0.1%","AllModules:R0603_1","","RESISTOR, 27K OHM, 0.063W, +/-0.1%,0603","27k","R1,R124","../../10005011 Power Management/10005011 PIC-Micro.sch","SUSUMU CO.","RG1608P-273-B-T5","~"
"10022135","Device:C","Capacitor:C0805_100nF_50V_10%","AllModules:C0805_1","","CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805","100nF","C23,C31,C55,C70,C79,C106,C109,C110,C112,C113,C131,C132,C133,C140,C141","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","YAGEO_RMS1","CC0805KRX7R9BB104","~"
"10022136","10005011_Power_Management:47pF_array","Capacitor:47pF_array","AllModules:C0612-4_1","","CAPACITOR ARRAY, 47PF, 50V, +/-10%,NPO,0612","47pF","C53,C61,C62,C98,C100","../../10005011 Power Management/10005011 Connectors-FAN.sch","YAGEO_RMS1","CA0612KRNPO9BN470","https://media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf"
"10022508","Device:C","Capacitor:C0603_10nF_50V_10%","AllModules:C0603_1","","CAPACITOR CERAMIC,10NF,+/-10%,50V,0603","10nF","C18,C19,C22,C37,C47,C49,C52,C83,C99,C111,C115,C116,C117,C118,C119","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","YAGEO_RMS1","CC0603KRX7R9BB103","~"
"10022510","Device:C","Capacitor:C0805_330nF_16V_10%","AllModules:C0805_1","","CAPACITOR,330NF,+/-10%,16V,0805,X7R","0.33uF","C76","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","CC0805KKX7R7BB334","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"10022532","10005011_Power_Management:BNX002-01","FLTR:BNX002-01","AllModules:BNX002+SF-AIROX_1","","FILTER CC, 1MHZ-1GHZ, 10A, 50V","BNX002-11","FLTR1,FLTR2,FLTR3","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","MURATA MANUFACTURING CO., LTD.","BNX002-01","https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNoiseSupprFilteBlockType&partno=BNX002-11"
"10022539","Device:R","Resistor:R0603_39k_0.1%","AllModules:R0603_1","","RES SMD 39K OHM 0.1% 1/10W 0603","39k","R121","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","PANASONIC_RMS1","ERA-3AEB393V ","~"
"10022546","Device:C","Capacitor:C0805_1uF_16V_10%","AllModules:C0805_1","","CAPACITOR, 1UF, +/-10%, 16V, 0805","1uF","C32,C57","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","AVX_RMS1","0805YC105KAT2A",""
"10022548","Device:R","Resistor:R0603_10k_1%","AllModules:R0603_1","","RESISTOR,10K OHM.0.063W,+/-1%,0603","10k","R10,R12,R16,R21,R23,R24,R25,R27,R28,R29,R30,R34,R36,R37,R38,R39,R40,R41,R46,R49,R50,R51,R60,R68,R77,R83,R84,R86,R89,R98,R105,R106","../../10005011 Power Management/10005011 PIC-Micro.sch","YAGEO_RMS1","RC0603FR-0710KL","~"
"10022549","Device:R","Resistor:R0603_100k_1%","AllModules:R0603_1","","RESISTOR,100KOHM,0.063W,+/-1%,0603","100k","R15,R20,R31,R32,R42,R43,R53,R54,R58,R65,R94,R96,R97,R111,R123","../../10005011 Power Management/10005011 PIC-Micro.sch","YAGEO_RMS1","RC0603FR-07100KL","~"
"10022551","Device:R","Resistor:R_4k7_1%","AllModules:R0603_1","","RESISTOR,4.7KOHM,0.063W,+/-1%","4.7k","R17,R26","../../10005011 Power Management/10005011 PIC-Micro.sch","YAGEO_RMS1","RC0603FR-074K7L","~"
"10022552","Device:R","Resistor:R0603_100R_1%","AllModules:R0603_1","","RESISTOR,100 OHM,0.063W,+/-1%, 0603","100","R11","../../10005011 Power Management/10005011 PIC-Micro.sch","BOURNS_RMS1","CR0603-FX-1000ELF","https://www.bourns.com/docs/Product-Datasheets/CHPREZTR.pdf"
