BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
1,true,true,true,false,false,0,10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603",C        ECO-R252633,2,Each,Production,,"C1,C2",,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,223858615636,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603JRX7R9BB103,223858615536,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603jrx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8119?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,KEMET_RMS1,C0603C103K5RACTU,,CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0603c103k5ractu/multilayer-ceramic-capacitor-c/dp/36X2611?CMP=AFC-SF-FC,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
1,true,true,false,false,false,0,10022532,"FILTER CC, 1MHZ-1GHZ, 10A, 50V",B        EC130338,1,Each,Production,,FI1,,,,,,Part,BDRM,,1,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX002-01,,FILTER,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.ttiinc.com/content/ttiinc/en/apps/part-detail.html?mfgShortname=MUR&partsNumber=BNX002-01&utm=704,https://www.murata.com/en-eu/api/pdfdownloadapi?cate=&partno=BNX002-01
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX00201,,NOISE/EMI SUPPRESSION FILTER,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.ttiinc.com/content/ttiinc/en/apps/part-detail.html?mfgShortname=MUR&partsNumber=BNX002-01&utm=704,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX002-11,,NOISE/EMI SUPPRESSION FILTER,Active,Preferred,,,Yes,CLEARED,,,,https://www.mouser.ca/ProductDetail/Murata-Electronics/BNX002-11?utm_term=BNX002-11&qs=l7cgNqFNU1g5DKqI66B3sg==&utm_campaign=BNX002-11&utm_medium=aggregator&utm_source=findchips&utm_content=Murata,
1,true,true,false,false,false,0,10022623,"CAPACITOR,47 PF,+/-5%,50V,0402",C        ECO-R252636,2,Each,Production,,"C3,C4",,,,,,Part,BDRM,,1,,,true,false,KEMET_RMS1,C0402C470J5GAC,,"CAP,CER,SMT,0402,5%,50V,47PF",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/c0402c470j5gac/kemet-corporation?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,SAMSUNG_RMS1,CL05C470JB5NNNC,,CAP CER 47PF 50V 5% NP0 0402,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/8350803?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05C470JB5NNN
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JA01D,,CAP CER 47PF 50V 5% NP0 0402,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/3109877?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,KEMET_RMS1,C0402C470J5GACTU,,"CAP,CER,SMT,0402,5%,50V,47PF",Active,Preferred,,TAPE & REEL,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0402c470j5gactu/multilayer-ceramic-capacitor-c/dp/36X2589?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JZ01D,,MONOLITHIC CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://uk.farnell.com/murata/grm1555c1h470jz01d/cap-47pf-50v-5-c0g-np0-0402/dp/8819670?CMP=GRHB-SF-FC,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA9/2551521.pdf
1,true,true,false,false,false,0,10022907,SMD FERRITE 200MA,B        ECO-R252636,2,Each,Production,,"FI2,FI3",,,,,,Part,BDRM,,1,,,true,false,WURTH ELEKTRONIK GMBH,74279266,,MULTILAYER-SMD-FERRITE,Active,Preferred,,ROHS EXEMPT : 7(C)-1,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/wurth-elektronik/74279266/ferrite-bead-1k-0-2a-0603/dp/24AC5680?CMP=AFC-SF-FC,https://www.we-online.fr/catalog/datasheet/74279266.pdf
