Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022135,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805",C        ECO-R252633,12,Each,Production,,"C1,C3,C5,C6,C9,C12,C15,C19,C21,C24,C25,C26",,,,,,Part,CBRM,,1,,,TRUE,FALSE,YAGEO_RMS1,CC0805KRX7R9BB104,223858055649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-2-ND/302874,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"MURATA MANUFACTURING CO., LTD.",GRM21BR71H104KA01L,,MONOLITHIC CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/murata/grm21br71h104ka01l/capacitor-ceramic-0-1uf-50v-x7r/dp/18X5191?CMP=AFC-SF-FC,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-319/144188.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,SAMSUNG_RMS1,CL21B104KBCNNNC,,MULTILAYER CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/samsung-electro-mechanics/cl21b104kbcnnnc/cap-0-1uf-50v-mlcc-0805/dp/82AC9428?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC0805KRX7R9BB104,,CAP CER .1UF 50V 10% X7R 0805,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.maritex.com.pl/product/show_qr/42996,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,AVX_RMS1,08055C104KAT2A,,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805, X7R DIELECTRIC",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/08055c104kat2a/3931423?utm_term=08055c104kat2a&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022506,"CAPACITOR,100UF,+/-20%,50V SMD",E        ECO-R252633,1,Each,Production,,ZC2,,,,,,Part,CBRM,,1,,,TRUE,FALSE,NICHICON_RMS1,UWT1H101MNL1GS,,CAP ALUM 100UF 20% 50V SMD,,Preferred,,ROHS COMPLIANT,Yes,Legacy Inventory Status: Cleared,"Double footprint ZC2/C2 (C2=TH, ZC2=SMD)",,,https://www.digikey.com/product-detail/en/nichicon/UWT1H101MNL1GS/493-2226-1-ND/590201,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022507,"CAPACITOR CERAMIC, 2.2NF, +/-10%,50V, X7R, 0603",C        ECO-R252633,4,Each,Production,,"C7,C11,C14,C17",,,,,,Part,CBRM,,1,,,TRUE,FALSE,YAGEO_RMS1,CC0603JRX7R9BB222,223858615527,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.0022 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/cc0603jrx7r9bb222/128191453?utm_term=cc0603jrx7r9bb222&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC0603KRX7R9BB222,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.0022 UF, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.maritex.com.pl/product/show_qr/46647,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,223858615627,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.0022 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://parts.com-sit.com/findchips?part=223858615627&utm_medium=SubmitRfq&utm_source=findChips,
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603",C        ECO-R252633,2,Each,Production,,"C8,C20",,,,,,Part,CBRM,,1,,,TRUE,FALSE,YAGEO_RMS1,223858615636,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.bristolelectronics.com/223858615636-yageo-corporation,
