BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,page number on schematic,part added to library?,Link to part,Link to datasheet
1,true,true,false,false,false,0,10021385,"RESISTOR,4.7 KOHM,+/-1%.0.063W,0402",A        ECO-R252636,1,Each,Production,,R40,,,,,,Part,BDRM,,1,,,true,false,PHYCOMP_RMS1,RC0402FR-074K7L,232270674702L,GENERAL PURPOSE CHIP RESISTOR,,Active,Preferred,,ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW04024K70FKED,,RESISTOR THICK FILM 4k7 1% 0.0625W 0402 VISHAY,,Active,Preferred,,ROHS EXEMPT: 7(C)-1,RoHS3 Compliant with exemptions,Cleared 7(c)-I exemption,,,https://www.digikey.ca/product-detail/en/CRCW04024K70FKED/541-4.70KLCT-ND/1183199?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO/PHYCOMP_RMS1,RC0402FR-074K7L,,GENERAL PURPOSE CHIP RESISTOR,,Active,Preferred,,ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/RC0402FR-074K7L/311-4.7KLRCT-ND/2827881?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10021387,"RESISTOR, 220 OHM,+/-1%, 0.063W, 0402",B        ECO-R252636,1,Each,Production,,R37,,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,RC0402FR-07220RL,232270672201L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 220 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP.ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW0402220RFKED,,"THICK FILM, RECTANGULAR CHIP RESISTORS",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/CRCW0402220RFKED/541-220LCT-ND/1183045?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-07220RL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 220 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,2011/65/EU compliant with 7(c)-I exemption and the exemption will expired in 21 July 2021 for medical devices.,,,https://www.digikey.ca/product-detail/en/RC0402FR-07220RL/311-220LRCT-ND/729512?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10021388,"RESISTOR, 180 KOHM, +/-1%, 0.063W.0402",B        ECO-R252636,1,Each,Production,,R41,,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,RC0402FR-07180KL,232270671804L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 180000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND:PHYCOMP.ROHS EXEMPT:7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW0402180KFKED,,THICK FILM RECTANGULAR CHIP RESISTORS,,Active,Preferred,,ROHS EXEMPT:7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/CRCW0402180KFKED/541-180KLCT-ND/1183378?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-07180KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 180000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPT:7(C)-1,Yes,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/RC0402FR-07180KL/311-180KLRCT-ND/729496?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10021389,"RESISTOR, 1.5 MOHM,0.063W, 0402",B        ECO-R252636,1,Each,Production,,R43,,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,RC0402FR-071M5L,232270671505L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 1500000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP.ROHS COMPLIANT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
