BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,comments,page number on schematic,part added to library?,Link to part,Link to datasheet,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement
1,true,true,false,false,false,0,4096600.M00.023,"EMC,FLOW SENSOR HOUSING,IC15 & IC17",A        ECO-R252636,2,Each,Production,,"BL1,BL3",,,,,,Part,CBRM,,1,,,true,false,"SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.023,,"EMC,FLOW SENSOR HOUSING,IC15 & IC17 (CUSTOM PART)",custom part,,,,,Active,Preferred,,CUSTOM PART PER COVIDIEN DRAWING 4096600.M00.023,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,4096600.M00.002,EMC CASING - CASE 2 PRESSURE SENSORS,A        ECO-R252636,1,Each,Production,,BL2,,,,,,Part,CBRM,,1,,,true,false,"SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.002,,EMC CASING - CASE 2 PRESSURE SENSORS (CUSTOM PART),custom part,,,,,Active,Preferred,,CUSTOM PART PER COVIDIEN DRAWING 4096600.M00.002,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,4096600.M00.003,EMC CASING - CASE 3 PRESSURE SENSORS,A        ECO-R252636,1,Each,Production,,BL4,,,,,,Part,CBRM,,1,,,true,false,"SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.003,,EMC CASING - CASE 3 PRESSURE SENSORS (CUSTOM PART),custom part,,,,,Active,Preferred,,CUSTOM PART PER COVIDIEN DRAWING 4096600.M00.003,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10023244,"BUZZER, 12V, 30MA, 85DB",B        ECO-R252636,1,Each,Production,,BUZ1,,,,,,Part,CBRM,,1,,,true,false,STAR MICRONICS INC.,HMB-12,,MAGNETIC BUZZER,,,,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022632,"CAPACITOR CERAMIC,22PF,+/-5%,50V,0603",C        ECO-R252636,3,Each,Production,,"C1,C3,C16",,,,,,Part,CBRM,,1,,,true,false,SAMSUNG_RMS1,CL10C220JB8NNNC,,MULTILAYER CERAMIC CAPACITOR,,,,https://www.arrow.com/en/products/cl10c220jb8nnnc/samsung-electro-mechanics?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,https://static6.arrow.com/aropdfconversion/8bc1e5bbd83c2f034a2b39f6d114eb01dba9a95e/cl10c220jb8nnnc-19.pdf,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C1,C3,C16",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603JRNPO9BN220,,CAP CER 22PF 50V C0G 5% 0603,,,,https://canada.newark.com/yageo/cc0603jrnpo9bn220/multilayer-ceramic-capacitor-cc/dp/74X7870?CMP=AFC-SF-FC,http://www.farnell.com/datasheets/2213336.pdf?_ga=2.138622075.95734198.1586924541-1634575331.1576290843&_gac=1.225384936.1587005953.Cj0KCQjw4dr0BRCxARIsAKUNjWToW95g0DKv9pgl4nO1KeauKrLiJDSLTrFbrDecsPlkWHlFpnro8XQaAuTDEALw_wcB,Active,Preferred,,,RoHS3 Compliant,Cleared
,,,,,,,,,,,,,,"C1,C3,C16",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603JRNPO9BN220,223886715229,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.000022 UF, SURFACE MOUNT, 0603",,,,https://canada.newark.com/yageo/cc0603jrnpo9bn220/multilayer-ceramic-capacitor-cc/dp/74X7870?CMP=AFC-SF-FC,https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-3/sf-00066455.pdf,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022976,"CAPACITOR CERAMIC,4.7NF,25V,+/-10%,0402",B        ECO-R252636,1,Each,Production,,C101,,,,,,Part,CBRM,,1,,,true,false,KYOCERA_RMS1,CM05X7R472K25AT,,MULTILAYER CERAMIC CAPACITOR,need alternate,,,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C101,,,,,,,,,,,,true,false,KEMET_RMS1,C0402C472K3RACTU,, ,,,,https://www.mouser.ca/ProductDetail/KEMET/C0402C472K3RACTU?utm_term=C0402C472K3RACTU&qs=ucSiXTDwQM%252bJFx2k4jqbFg==&utm_campaign=C0402C472K3RACTU&utm_medium=aggregator&utm_source=findchips&utm_content=KEMET,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C101,,,,,,,,,,,,true,false,AVX_RMS1,04023C472KAT2A,,CERAMIC CAPACITOR X7R,,,,https://www.futureelectronics.com/p/8103444?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
