BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part#,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,Comments,page number on schematic,part added to library?,Link to part,Link to datasheet
1,true,true,false,false,false,0,10022131,"RESISTOR, 27K OHM, 0.063W, +/-0.1%,0603",C        ECO-R252636,2,Each,Production,,"R1,R124",,,,,,Part,CBRM,,1,,,true,false,SUSUMU CO.,RG1608P-273-B-T5,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.mouser.ca/ProductDetail/Susumu/RG1608P-273-B-T5?utm_term=RG1608P-273-B-T5&qs=01v%252bktAZElakIVAwdn7edQ==&utm_campaign=RG1608P-273-B-T5&utm_medium=aggregator&utm_source=findchips&utm_content=Susumu,https://www.mouser.ca/datasheet/2/392/n_catalog_partition01_en-1140338.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RT0603BRE0727KL,,"RESISTOR, THIN FILM, 0.1 W, 0.1 %, 50 PPM, 27000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/RT0603BRE0727KL/YAG4679CT-ND/6616835?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf
1,true,true,true,false,false,0,10022135,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805",C        ECO-R252633,15,Each,Production,,"C23,C31,C55,C70,C79,C106,C109,C110,C112,C113,C131,C132,C133,C140,C141",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0805KRX7R9BB104,223858055649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805 ",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-2-ND/302874,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM21BR71H104KA01L,,MONOLITHIC CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/murata/grm21br71h104ka01l/capacitor-ceramic-0-1uf-50v-x7r/dp/18X5191?CMP=AFC-SF-FC,http://www.farnell.com/datasheets/1769893.pdf?_ga=2.227892437.95734198.1586924541-1634575331.1576290843
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KRX7R9BB104,223858015649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-2-ND/302874,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,SAMSUNG_RMS1,CL21B104KBCNNNC,,MULTILAYER CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/samsung-electro-mechanics/cl21b104kbcnnnc/cap-0-1uf-50v-mlcc-0805/dp/82AC9428?CMP=AFC-SF-FC,http://www.farnell.com/datasheets/2710636.pdf?_ga=2.166494070.95734198.1586924541-1634575331.1576290843
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KRX7R9BB104,,CAP CER .1UF 50V 10% X7R 0805,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.maritex.com.pl/product/show_qr/42996,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,AVX_RMS1,08055C104KAT2A,,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805, X7R DIELECTRIC",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/08055c104kat2a/3931423?utm_term=08055c104kat2a&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
1,true,true,false,false,false,0,10022136,"CAPACITOR ARRAY, 47PF, 50V, +/-10%,NPO,0612",B        ECO-R184640,5,Each,Production,,"C53,C61,C62,C98,C100",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CA0612KRNPO9BN470,225514611532,"ISOLATED C NETWORK, 50V, C0G, 0.000047UF, SURFACE MOUNT, CHIP-8",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CA0612KRNPO9BN470/CA0612KRNPO9BN470-ND/1087410,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-4C-Array_16V-to-50V_5.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,AVX_RMS1,W3A45A470KAT2A,,CAPACITOR ARRAY,Active,Preferred,,,,,,,,https://www.questcomp.com/part/4/w3a45a470kat2a/423038058?utm_term=w3a45a470kat2a&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
1,true,true,true,false,false,0,10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603",C        ECO-R252633,15,Each,Production,,"C18,C19,C22,C37,C47,C49,C52,C83,C99,C111,C115,C116,C117,C118,C119",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,223858615636,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB104,223858615536,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0603KRX7R9BB103/311-1085-2-ND/302819,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,KEMET_RMS1,C0603C103K5RACTU,,CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0603c103k5ractu/multilayer-ceramic-capacitor-c/dp/36X2611?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
1,true,true,true,false,false,0,10022510,"CAPACITOR,330NF,+/-10%,16V,0805,X7R",C        ECO-R252633,1,Each,Production,,C76,,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0805KKX7R7BB334,222278015556,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0805KKX7R7BB334/311-1882-1-ND/5195784,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
